Metadata_JCP2022	Metadata_InChIKey	Metadata_pert_iname
JCP2022_097998	WDENQIQQYWYTPO-UHFFFAOYSA-N	acalabrutinib
JCP2022_017136	DOCINCLJNAXZQF-UHFFFAOYSA-N	acalisib
JCP2022_000971	AFCGFAGUEYAMAO-UHFFFAOYSA-N	acamprosate
JCP2022_106063	XUFXOAAUWZOOIT-UHFFFAOYSA-N	acarbose
JCP2022_026731	GOEMGAFJFRBGGG-UHFFFAOYSA-N	acebutolol
JCP2022_044013	KEECCEWTUVWFCV-UHFFFAOYSA-N	acecainide
JCP2022_100673	WRJPSSPFHGNBMG-UHFFFAOYSA-N	aceclidine
JCP2022_055262	MNIPYSSQXLZQLJ-UHFFFAOYSA-N	aceclofenac
JCP2022_029408	HCYFGRCYSCXKNQ-UHFFFAOYSA-N	acefylline
JCP2022_046729	KSMRODHGGIIXDV-UHFFFAOYSA-N	aceglutamide
JCP2022_059081	NHTKGYOMICWFQZ-UHFFFAOYSA-N	acelarin
JCP2022_022692	FSQKKOOTNAMONP-UHFFFAOYSA-N	acemetacin
JCP2022_085038	SQVRNKJHWKZAKO-UHFFFAOYSA-N	aceneuramic-acid
JCP2022_092620	VABCILAOYCMVPS-UHFFFAOYSA-N	acenocoumarol
JCP2022_060393	NOSIYYJFMPDDSA-UHFFFAOYSA-N	acepromazine
JCP2022_108217	YGCFIWIQZPHFLU-UHFFFAOYSA-N	acesulfame-potassium
JCP2022_023933	FZERHIULMFGESH-UHFFFAOYSA-N	acetanilide
JCP2022_009677	BZKPWHYZMXOIDC-UHFFFAOYSA-N	acetazolamide
JCP2022_093901	VGZSUPCWNCWDAN-UHFFFAOYSA-N	acetohexamide
JCP2022_080325	RRUDCFGSUDOHDG-UHFFFAOYSA-N	acetohydroxamic-acid
JCP2022_099984	WNTYBHLDCKXEOT-UHFFFAOYSA-N	acetophenazine
JCP2022_026615	GNOGSFBXBWBTIG-UHFFFAOYSA-N	acetriazoic-acid
JCP2022_031159	HMMGKOVEOFBCAU-UHFFFAOYSA-N	acetyl-11-keto-beta-boswellic-acid
JCP2022_031159	HMMGKOVEOFBCAU-UHFFFAOYSA-N	AKBA
JCP2022_101849	WXNXCEHXYPACJF-UHFFFAOYSA-N	acetyl-l-leucine
JCP2022_064036	OIPILFWXSMYKGL-UHFFFAOYSA-N	acetylcholine
JCP2022_071429	PWKSKIMOESPYIA-UHFFFAOYSA-N	acetylcysteine
JCP2022_114767	ZPCCSZFPOXBNDL-UHFFFAOYSA-N	acetylspiramycin
JCP2022_098084	WDSCBUNMANHPFH-UHFFFAOYSA-N	acexamic-acid
JCP2022_016340	DJQOOSBJCLSSEY-UHFFFAOYSA-N	acipimox
JCP2022_035144	IHUNBGSDBOWDMA-UHFFFAOYSA-N	acitretin
JCP2022_017820	DRWZHURZYBIXHX-UHFFFAOYSA-N	aclarubicin
JCP2022_003551	ASMXXROZKSBQIH-UHFFFAOYSA-N	aclidinium
JCP2022_070924	PTYGDEXEGLDNAZ-UHFFFAOYSA-N	acoziborole
JCP2022_105721	XSIOKTWDEOJMGG-UHFFFAOYSA-O	acriflavine
JCP2022_105721	XSIOKTWDEOJMGG-UHFFFAOYSA-O	acriflavinium
JCP2022_098384	WFJIVOKAWHGMBH-UHFFFAOYSA-N	acrisorcin
JCP2022_098384	WFJIVOKAWHGMBH-UHFFFAOYSA-N	hexylresorcinol
JCP2022_071328	PWACSDKDOHSSQD-UHFFFAOYSA-N	acrivastine
JCP2022_056078	MROJXXOCABQVEF-UHFFFAOYSA-N	actarit
JCP2022_027390	GSADSJFVCHVKRH-UHFFFAOYSA-N	actinomycin-d
JCP2022_027390	GSADSJFVCHVKRH-UHFFFAOYSA-N	dactinomycin
JCP2022_023027	FUKKFSDRLRCEKO-UHFFFAOYSA-N	acumapimod
JCP2022_073380	QGZYDVAGYRLSKP-UHFFFAOYSA-N	ACY-1215
JCP2022_054789	MKUXAQIIEYXACX-UHFFFAOYSA-N	acyclovir
JCP2022_052632	LZCDAPDGXCYOEH-UHFFFAOYSA-N	adapalene
JCP2022_033066	HWPWTUQOPNVEFW-UHFFFAOYSA-N	adaptavir
JCP2022_072232	QAWBIEIZDDIEMW-UHFFFAOYSA-N	adarotene
JCP2022_003084	AQDWDWAYVBQMAM-UHFFFAOYSA-N	adavivint
JCP2022_064447	OKVOKULYZXODKU-UHFFFAOYSA-N	ADD-233089
JCP2022_072371	QBOMMLNIIUVYAH-UHFFFAOYSA-N	adefovir
JCP2022_100221	WOZSCQDILHKSGG-UHFFFAOYSA-N	adefovir-dipivoxil
JCP2022_067287	PAHZPHDAJQIETD-UHFFFAOYSA-N	adelmidrol
JCP2022_053571	MEFKEPWMEQBLKI-UHFFFAOYSA-O	ademetionine
JCP2022_025090	GFFGJBXGBJISGV-UHFFFAOYSA-N	adenine
JCP2022_064052	OIRDTQYFTABQOQ-UHFFFAOYSA-N	adenosine
JCP2022_064052	OIRDTQYFTABQOQ-UHFFFAOYSA-N	vidarabine
JCP2022_045153	KKFNWXDXVGCEMI-UHFFFAOYSA-N	adenosine-phosphate
JCP2022_030266	HHQVIDHPNWPJBM-UHFFFAOYSA-N	adenosine-triphosphate
JCP2022_039646	JGOAIQNSOGZNBX-UHFFFAOYSA-N	adiphenine
JCP2022_099926	WNLRTRBMVRJNCN-UHFFFAOYSA-N	adipic-acid
JCP2022_083229	SHHUPGSHGSNPDB-UHFFFAOYSA-N	adiporon
JCP2022_065274	OPIKUXLJQFYMSC-UHFFFAOYSA-N	ADL5859
JCP2022_019443	FASLTMSUPQDLIB-UHFFFAOYSA-N	adomeglivant
JCP2022_037571	IUVSEUFHPNITEQ-UHFFFAOYSA-N	adoprazine
JCP2022_010986	CGNMLOKEMNBUAI-UHFFFAOYSA-N	adrafinil
JCP2022_071990	PZMVOUYYNKPMSI-UHFFFAOYSA-N	adrenalone
JCP2022_044773	KIEUSUVLMCIWSA-UHFFFAOYSA-N	adrenosterone
JCP2022_096984	VXQCCZHCFBHTTD-UHFFFAOYSA-N	ADX-47273
JCP2022_065140	OONFNUWBHFSNBT-UHFFFAOYSA-N	AEE788
JCP2022_055933	MQUYTXDAVCOCMX-UHFFFAOYSA-N	AEG3482
JCP2022_042507	JWCUSQCZMQIBMR-UHFFFAOYSA-N	AF38469
JCP2022_010066	CBQJSKKFNMDLON-UHFFFAOYSA-N	afalanine
JCP2022_032321	HSPXNODNUFUFPA-UHFFFAOYSA-N	afatinib
JCP2022_087444	TXUZVZSFRXZGTL-UHFFFAOYSA-N	afimoxifene
JCP2022_093277	VDOSWXIDETXFET-UHFFFAOYSA-N	afloqualone
JCP2022_101657	WWNUCVSRRUDYPP-UHFFFAOYSA-N	afobazole
JCP2022_000214	ABBADGFSRBWENF-UHFFFAOYSA-N	AG-1024
JCP2022_082666	SEKJSSBJKFLZIT-UHFFFAOYSA-N	AG-14361
JCP2022_086703	TUCIOBMMDDOEMM-UHFFFAOYSA-N	AG-490
JCP2022_027519	GSQOBTOAOGXIFL-UHFFFAOYSA-N	AG-555
JCP2022_021855	FNYGWXSATBUBER-UHFFFAOYSA-N	AGI-5198
JCP2022_010134	CCAWRGNYALGPQH-UHFFFAOYSA-N	AGI-6780
JCP2022_056214	MSHZHSPISPJWHW-UHFFFAOYSA-N	AGM-1470
JCP2022_056214	MSHZHSPISPJWHW-UHFFFAOYSA-N	TNP-470
JCP2022_076735	QYPPJABKJHAVHS-UHFFFAOYSA-N	agmatine
JCP2022_049518	LHUPKWKWYWOMSK-UHFFFAOYSA-N	AGN-194310
JCP2022_069705	PNAWUIKCVQSLFG-UHFFFAOYSA-N	AGN-195183
JCP2022_108960	YJYPHIXNFHFHND-UHFFFAOYSA-N	agomelatine
JCP2022_089827	UKMSUNONTOPOIO-UHFFFAOYSA-N	AGP-103
JCP2022_067060	OZCQEUZTOAAWDK-UHFFFAOYSA-N	AH-7614
JCP2022_003094	AQFFXPQJLZFABJ-UHFFFAOYSA-N	AH6809
JCP2022_099092	WJBSSBFGPKTMQQ-UHFFFAOYSA-N	AI-10-49
JCP2022_104718	XNFHHOXCDUAYSR-UHFFFAOYSA-N	AIM-100
JCP2022_011461	CJDRUOGAGYHKKD-UHFFFAOYSA-N	ajmaline
JCP2022_038096	IYAYHZZWYNXHEQ-UHFFFAOYSA-N	AK-7
JCP2022_025102	GFGSZUNNBQXGMK-UHFFFAOYSA-N	aklomide
JCP2022_020650	FHHHOYXPRDYHEZ-UHFFFAOYSA-N	alacepril
JCP2022_052522	LYLFQLCLUXOFOL-UHFFFAOYSA-N	alagebrium
JCP2022_074570	QNAYBMKLOCPYGJ-UHFFFAOYSA-N	alanine
JCP2022_074570	QNAYBMKLOCPYGJ-UHFFFAOYSA-N	L-alanine
JCP2022_071629	PXOYOCNNSUAQNS-UHFFFAOYSA-N	alantolactone
JCP2022_074182	QLGKMLRGKPKGKI-UHFFFAOYSA-N	alarelin
JCP2022_033221	HXHWSAZORRCQMX-UHFFFAOYSA-N	albendazole
JCP2022_097009	VXTGHWHFYNYFFV-UHFFFAOYSA-N	albendazole-oxide
JCP2022_058189	NDAUXUAQIAJITI-UHFFFAOYSA-N	albuterol
JCP2022_058189	NDAUXUAQIAJITI-UHFFFAOYSA-N	levalbuterol
JCP2022_057050	MWTBKTRZPHJQLH-UHFFFAOYSA-N	alcaftadine
JCP2022_059966	NMKJFZCBCIUYHI-UHFFFAOYSA-N	alda-1
JCP2022_042947	JYJLNZYTWBYUKE-UHFFFAOYSA-N	aldoxorubicin
JCP2022_043852	KDGFLJKFZUIJMX-UHFFFAOYSA-N	alectinib
JCP2022_012499	COORKQZSNQLSLX-UHFFFAOYSA-N	alendronate
JCP2022_063437	OFHCOWSQAMBJIW-UHFFFAOYSA-N	alfacalcidol
JCP2022_099931	WNMJYKCGWZFFKR-UHFFFAOYSA-N	alfuzosin
JCP2022_090132	UMJHTFHIQDEGKB-UHFFFAOYSA-N	alibendol
JCP2022_116636	ZZHLYYDVIOPZBE-UHFFFAOYSA-N	alimemazine
JCP2022_066834	OXTYVEUAQHPPMV-UHFFFAOYSA-N	alinidine
JCP2022_092215	UXOWGYHJODZGMF-UHFFFAOYSA-N	aliskiren-hemifumarate
JCP2022_064601	OLROWHGDTNFZBH-UHFFFAOYSA-N	alisporivir
JCP2022_046663	KSEYRUGYKHXGFW-UHFFFAOYSA-N	alizapride
JCP2022_024120	GADFHZPEJJBGDD-UHFFFAOYSA-N	alizarin
JCP2022_054979	MLVVTNIFHMERMU-UHFFFAOYSA-N	allantoin
JCP2022_039053	JDLKFOPOAOFWQN-UHFFFAOYSA-N	allicin
JCP2022_063400	OFCNXPDARWKPPY-UHFFFAOYSA-N	allopurinol
JCP2022_032468	HTKFORQRBXIQHD-UHFFFAOYSA-N	allylthiourea
JCP2022_062662	OBDOVFRMEYHSQB-UHFFFAOYSA-N	almitrine
JCP2022_016517	DKMACHNQISHMDN-UHFFFAOYSA-N	almorexant
JCP2022_099314	WKEMJKQOLOHJLZ-UHFFFAOYSA-N	almotriptan
JCP2022_052053	LVYBASRFZOCHFE-UHFFFAOYSA-N	aloe-emodin
JCP2022_115337	ZSBOMTDTBDDKMP-UHFFFAOYSA-N	alogliptin
JCP2022_088060	UBCKYWKJKPMKAA-UHFFFAOYSA-N	aloin
JCP2022_083854	SKOLRLSBMUGVOY-UHFFFAOYSA-N	aloperine
JCP2022_041936	JSWZEAMFRNKZNL-UHFFFAOYSA-N	alosetron
JCP2022_092124	UXCAQJAQSWSNPQ-UHFFFAOYSA-N	alovudine
JCP2022_085227	SRVFFFJZQVENJC-UHFFFAOYSA-N	aloxistatin
JCP2022_085597	STUWGJZDJHPWGZ-UHFFFAOYSA-N	alpelisib
JCP2022_078905	RKFAZBXYICVSKP-UHFFFAOYSA-N	alpha-asarone
JCP2022_100605	WQZGKKKJIJFFOK-UHFFFAOYSA-N	alpha-D-glucopyranose
JCP2022_028032	GVJHHUAWPYXKBD-UHFFFAOYSA-N	alpha-tochopherol
JCP2022_028032	GVJHHUAWPYXKBD-UHFFFAOYSA-N	vitamin-E
JCP2022_112066	ZAKOWWREFLAJOT-UHFFFAOYSA-N	alpha-tochopheryl-acetate
JCP2022_067411	PAZJSJFMUHDSTF-UHFFFAOYSA-N	alprenolol
JCP2022_026508	GMVPRGQOIOIIMI-UHFFFAOYSA-N	alprostadil
JCP2022_024601	GCUCIFQCGJIRNT-UHFFFAOYSA-N	alrestatin
JCP2022_093795	VGLGVJVUHYTIIU-UHFFFAOYSA-N	althiazide
JCP2022_026610	GNNDEPIMDAZHRQ-UHFFFAOYSA-N	altiratinib
JCP2022_076714	QYNNQWGHBJQOCT-UHFFFAOYSA-N	altrenogest
JCP2022_091723	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	altretamine
JCP2022_114793	ZPFXAOWNKLFJDN-UHFFFAOYSA-N	alverine
JCP2022_023004	FUGYCECNWWVFSN-UHFFFAOYSA-N	alvespimycin
JCP2022_090709	UPNUIXSCZBYVBB-UHFFFAOYSA-N	alvimopan
JCP2022_006561	BIIVYFLTOXDAOV-UHFFFAOYSA-N	alvocidib
JCP2022_019962	FDORQEIHOKEJNX-UHFFFAOYSA-N	ALX-5407
JCP2022_115716	ZUHIXXCLLBMBDW-UHFFFAOYSA-N	AM-1241
JCP2022_008847	BUZAJRPLUGXRAB-UHFFFAOYSA-N	AM-251
JCP2022_086646	SZWKGOZKRMMLAJ-UHFFFAOYSA-N	AM-580
JCP2022_050496	LNDDRUPAICPXIN-UHFFFAOYSA-N	AM095
JCP2022_065383	OPXIRFWNLBDKQB-UHFFFAOYSA-N	AM211
JCP2022_097227	VYXWHVDEWWHDLH-UHFFFAOYSA-N	AM679
JCP2022_016538	DKNWSYNQZKUICI-UHFFFAOYSA-N	amantadine
JCP2022_066189	OUJTZYPIHDYQMC-UHFFFAOYSA-N	ambrisentan
JCP2022_038627	JBDGDEWWOUBZPM-UHFFFAOYSA-N	ambroxol
JCP2022_098892	WHZPEZIAUQWBEH-UHFFFAOYSA-N	amcasertib
JCP2022_076050	QUYIFTUJECZGBB-UHFFFAOYSA-N	amcinonide
JCP2022_013872	CWJJHESJXJQCJA-UHFFFAOYSA-N	AMD-3465
JCP2022_101462	WVLHHLRVNDMIAR-UHFFFAOYSA-N	AMD11070
JCP2022_055249	MNHNIVNAFBSLLX-UHFFFAOYSA-N	amenamevir
JCP2022_096999	VXROHTDSRBRJLN-UHFFFAOYSA-O	amezinium
JCP2022_084674	SOYCMDCMZDHQFP-UHFFFAOYSA-N	amfenac
JCP2022_029603	HEAIZQNMNCHNFD-UHFFFAOYSA-N	AMG-208
JCP2022_017739	DRLCSJFKKILATL-UHFFFAOYSA-N	AMG-232
JCP2022_047475	KWRYMZHCQIOOEB-UHFFFAOYSA-N	AMG-319
JCP2022_047475	KWRYMZHCQIOOEB-UHFFFAOYSA-N	AMG319
JCP2022_018615	DWHXUGDWKAIASB-UHFFFAOYSA-N	AMG-337
JCP2022_100564	WQTKNBPCJKRYPA-UHFFFAOYSA-N	AMG-487
JCP2022_100564	WQTKNBPCJKRYPA-UHFFFAOYSA-N	AMG-487-(+/-)
JCP2022_110979	YUTIXVXZQIQWGY-UHFFFAOYSA-N	AMG-517
JCP2022_114665	ZOPNBMMVVZRSGH-UHFFFAOYSA-N	AMG-837
JCP2022_002729	AOJQBABIGYNZOY-UHFFFAOYSA-N	AMG-925
JCP2022_028787	GZTFUVZVLYUPRG-UHFFFAOYSA-N	AMG-9810
JCP2022_026193	GLBZSOQDAOLMGC-UHFFFAOYSA-N	AMG458
JCP2022_037716	IVUGFMLRJOCGAS-UHFFFAOYSA-N	AMG900
JCP2022_067652	PCGISRHGYLRXSR-UHFFFAOYSA-N	AMI-1
JCP2022_077640	RDJQCOBTKKAQAH-UHFFFAOYSA-N	amibegron
JCP2022_079330	RMMXTBMQSGEXHJ-UHFFFAOYSA-N	amidopyrine
JCP2022_066994	OYTKINVCDFNREN-UHFFFAOYSA-N	amifampridine
JCP2022_052283	LXDGFIQSXMEGBL-UHFFFAOYSA-N	amifostine
JCP2022_102147	WZGFRDSZMKBKLU-UHFFFAOYSA-N	amikacin
JCP2022_105696	XSDQTOBWRPYKKA-UHFFFAOYSA-N	amiloride
JCP2022_084091	SLXKOJJOQWFEFD-UHFFFAOYSA-N	aminocaproic-acid
JCP2022_079616	ROBVIMPUHSLWNV-UHFFFAOYSA-N	aminoglutethimide
JCP2022_028914	HAMNKKUPIHEESI-UHFFFAOYSA-N	aminoguanidine
