Metadata_JCP2022	Metadata_broad_sample	Metadata_InChIKey	Metadata_pert_iname	Metadata_pubchem_cid
JCP2022_080150	BRD-K29895144-001-01-0	RQVGFDBMONQTBC-UHFFFAOYSA-N	SKLB1002	71461003
JCP2022_098688	BRD-K40109029-001-03-7	WGZOTBUYUFBEPZ-UHFFFAOYSA-N	SB-505124	9858940
JCP2022_012146	BRD-A09722536-002-18-0	CMSMOCZEIVJLDB-UHFFFAOYSA-N	cyclophosphamide	2907
JCP2022_029951	BRD-K26439554-001-02-9	HFYPTENHTPNXGP-UHFFFAOYSA-N	H2L-5765834	1365686
JCP2022_014114	BRD-K70586315-001-02-4	CXUCKELNYMZTRT-UHFFFAOYSA-N	1-EBIO	82320
JCP2022_021678	BRD-K29151923-001-02-9	FMYGNANMYYHBSU-UHFFFAOYSA-N	CYM-5520	25110470
JCP2022_062326	BRD-K17849083-001-32-9	NZHGWWWHIYHZNX-UHFFFAOYSA-N	tranilast	5282230
JCP2022_010382	BRD-K70463136-001-02-9	CDJNNOJINJAXPV-UHFFFAOYSA-N	BAY-87-2243	67377767
JCP2022_061437	BRD-K22482860-001-20-6	NUKYPUAOHBNCPY-UHFFFAOYSA-N	dalfampridine	1727
JCP2022_029365	BRD-K74913225-001-16-9	HCRKCZRJWPKOAR-UHFFFAOYSA-N	brinzolamide	68844
JCP2022_116188	BRD-K34581968-001-04-6	ZWVZORIKUNOTCS-UHFFFAOYSA-N	BMS-536924	
JCP2022_047559	BRD-K87158025-003-09-9	KXDROGADUISDGY-UHFFFAOYSA-N	benzamil	108107
JCP2022_055397	BRD-K38272302-001-02-7	MNYJJHBAEYKXEG-UHFFFAOYSA-N	GK921	56682080
JCP2022_068660	BRD-K75390981-300-04-9	PHSPJQZRQAJPPF-UHFFFAOYSA-N	N-alpha-Methylhistamine-dihydrochloride	912
JCP2022_030049	BRD-K43570081-001-02-4	HGMSUJCQIUFZBJ-UHFFFAOYSA-N	geldanamycin	13017912
JCP2022_105456	BRD-K91825936-001-03-9	XQYASZNUFDVMFH-UHFFFAOYSA-N	ZK811752	512282
JCP2022_105621	BRD-K46625559-001-01-8	XRVDGNKRPOAQTN-UHFFFAOYSA-N	ozanimod	52938427
JCP2022_067432	BRD-K95785537-001-22-3	PBBRWFOVCUAONR-UHFFFAOYSA-N	PP-2	4878
JCP2022_058046	BRD-K10670311-001-15-5	NCEXYHBECQHGNR-UHFFFAOYSA-N	sulfasalazine	
JCP2022_068838	BRD-K36461289-001-05-8	PIMZUZSSNYHVCU-UHFFFAOYSA-N	picrotoxinin	7098683
JCP2022_087474	BRD-K13094524-001-06-7	TXZPMHLMPKIUGK-UHFFFAOYSA-N	PFI-1	71271629
JCP2022_024601	BRD-K35498378-001-06-1	GCUCIFQCGJIRNT-UHFFFAOYSA-N	alrestatin	2120
JCP2022_096865	BRD-K14560436-001-02-9	VXBAJLGYBMTJCY-UHFFFAOYSA-N	TG-02	16739650
JCP2022_042332	BRD-K15819326-001-02-9	JVCWPUFNLFSKFS-UHFFFAOYSA-N	AC-710	54760053
JCP2022_054601	BRD-K91283740-003-01-6	MJSHVHLADKXCML-UHFFFAOYSA-N	UNC2025	
JCP2022_075930	BRD-K08893438-001-04-9	QUIIIYITNGOFEI-UHFFFAOYSA-N	CCG-50014	2733079
JCP2022_018899	BRD-K66430217-001-03-8	DXZRBHUCOHBAHP-UHFFFAOYSA-N	KH-CB19	44237094
JCP2022_115049	BRD-K72063794-003-02-9	ZQPXNYLXYNRFNP-UHFFFAOYSA-N	VU591	44123657
JCP2022_087444	BRD-K04210847-001-21-9	TXUZVZSFRXZGTL-UHFFFAOYSA-N	afimoxifene	449459
JCP2022_113710	BRD-K75748943-300-02-9	ZJMDTBBCNMGFMS-UHFFFAOYSA-N	DG-172	57342889
JCP2022_052804	BRD-K68143200-001-11-7	MAASHDQFQDDECQ-UHFFFAOYSA-N	NSC-95397	262093
JCP2022_039503	BRD-K03155172-001-02-2	JFUIMTGOQCQTPF-UHFFFAOYSA-N	GSK3787	2800647
JCP2022_093678	BRD-K26970495-001-02-7	VFSVKVQMZDJFQX-UHFFFAOYSA-N	CCG-63802	6057678
JCP2022_077089	BRD-K07762753-001-04-4	RAMROQQYRRQPDL-UHFFFAOYSA-N	aminopurvalanol-a	6604931
JCP2022_044197	BRD-K62949423-001-04-9	KFAKESMKRPNZTM-UHFFFAOYSA-N	NSC-625987	3004085
JCP2022_109350	BRD-A22032524-074-09-9	YMDXSGBNCBQYGC-UHFFFAOYSA-N	amlodipine	2162
JCP2022_113779	BRD-K16444452-001-12-9	ZJVFLBOZORBYFE-UHFFFAOYSA-N	ibudilast	3671
JCP2022_096054	BRD-K05531427-001-01-7	VSVFLGPUZJTBSD-UHFFFAOYSA-N	briciclib	11248490
JCP2022_007613	BRD-K97010173-001-04-1	BOFQWVMAQOTZIW-UHFFFAOYSA-N	deferasirox	
JCP2022_032771	BRD-K64800655-001-11-9	HUXYBQXJVXOMKX-UHFFFAOYSA-N	PHA-793887	46191454
JCP2022_105442	BRD-K64890080-001-14-9	XQVVPGYIWAGRNI-UHFFFAOYSA-N	BI-2536	11364421
JCP2022_018280	BRD-K03109492-001-08-9	DUKQPWDVIZDABV-UHFFFAOYSA-N	NSC-663284	379077
JCP2022_076573	BRD-K68164687-001-02-9	QXRSDHAAWVKZLJ-UHFFFAOYSA-N	epothilone-b	129010071
JCP2022_033914	BRD-K86525559-001-07-8	IAYGCINLNONXHY-UHFFFAOYSA-N	AZD7762	11152667
JCP2022_005529	BRD-K19477839-001-10-9	BCZUAADEACICHN-UHFFFAOYSA-N	SGX523	24779724
JCP2022_080920	BRD-K38852836-001-04-9	RVAQIUULWULRNW-UHFFFAOYSA-N	ganetespib	
JCP2022_013856	BRD-K42191735-001-08-7	CWHUFRVAEUJCEF-UHFFFAOYSA-N	buparlisib	16654980
JCP2022_096342	BRD-K93942811-001-01-3	VUIRVWPJNKZOSS-UHFFFAOYSA-N	ML-323	60167849
JCP2022_046054	BRD-K58550667-001-12-9	KPBNHDGDUADAGP-UHFFFAOYSA-N	FK-866	6914657
JCP2022_102083	BRD-K49350383-001-15-2	WYWHKKSPHMUBEB-UHFFFAOYSA-N	thioguanine	2723601
JCP2022_104794	BRD-K25243230-001-01-2	XNOPRXBHLZRZKH-UHFFFAOYSA-N	oxytocin	439302
JCP2022_089172	BRD-K70821460-300-02-4	UGYXPZQILZRKJJ-UHFFFAOYSA-N	4-methylhistamine	37463
JCP2022_090205	BRD-K44771174-066-01-0	UMUPQWIGCOZEOY-UHFFFAOYSA-N	ibutamoren	178024
JCP2022_016935	BRD-K50495309-001-02-0	DMWVGXGXHPOEPT-UHFFFAOYSA-N	SRC-kinase-inhibitor-I	1474853
JCP2022_073156	BRD-K62810658-001-11-4	QFWCYNPOPKQOKV-UHFFFAOYSA-N	PD-98059	4713
JCP2022_028940	BRD-A30815329-001-10-5	HAQDEJPEAKWAAM-UHFFFAOYSA-N	felodipine	3333
JCP2022_073628	BRD-K24283677-001-02-9	QIHBWVVVRYYYRO-UHFFFAOYSA-N	ME-0328	71571526
JCP2022_030094	BRD-K29322660-001-01-9	HGVDHZBSSITLCT-UHFFFAOYSA-N	edoxaban	49822384
JCP2022_064183	BRD-A72351335-001-04-5	OJLOPKGSLYJEMD-UHFFFAOYSA-N	misoprostol	5282381
JCP2022_033400	BRD-K76674262-001-05-9	HYFHYPWGAURHIV-UHFFFAOYSA-N	homoharringtonine	285033
JCP2022_106722	BRD-K47738867-001-01-5	XXRCUYVCPSWGCC-UHFFFAOYSA-N	ethyl-pyruvate	12041
JCP2022_050271	BRD-K76908866-001-08-9	LLVZBTWPGQVVLW-UHFFFAOYSA-N	CP-724714	9874913
JCP2022_020718	BRD-K69877120-001-02-9	FHPOTBQOUBMMCI-UHFFFAOYSA-N	CYM-50260	44620894
JCP2022_084963	BRD-K60150510-001-15-6	SQMWSBKSHWARHU-UHFFFAOYSA-N	N6-cyclopentyladenosine	657378
JCP2022_028645	BRD-K77220725-003-02-9	GYYRMJMXXLJZAB-UHFFFAOYSA-N	Ro-1138452	9839644
JCP2022_074697	BRD-K31476763-001-01-5	QNQZWEGMKJBHEM-UHFFFAOYSA-N	AZD9668	46861623
JCP2022_024824	BRD-K19333160-001-01-3	GDVRVPIXWXOKQO-UHFFFAOYSA-N	RKI-1447	60138149
JCP2022_045036	BRD-K51899933-001-02-6	KJNNWYBAOPXVJY-UHFFFAOYSA-N	azeliragon	11180124
JCP2022_092464	BRD-K98357249-001-02-9	UZDORQWMYRRLQV-UHFFFAOYSA-N	IRL-2500	5311192
JCP2022_080224	BRD-K67017579-001-28-1	RRGUKTPIGVIEKM-UHFFFAOYSA-N	cilostazol	2754
JCP2022_021857	BRD-K92049597-001-21-9	FNYLWPVRPXGIIP-UHFFFAOYSA-N	triamterene	5546
JCP2022_048928	BRD-K47978074-001-03-2	LENZDBCJOHFCAS-UHFFFAOYSA-N	trometamol	6503
JCP2022_007419	BRD-K37355418-236-01-6	BNFRJXLZYUTIII-UHFFFAOYSA-N	efaproxiral	122335
JCP2022_069672	BRD-A99888680-001-05-3	PMXMIIMHBWHSKN-UHFFFAOYSA-N	paliperidone	115237
JCP2022_085227	BRD-K91188791-001-17-5	SRVFFFJZQVENJC-UHFFFAOYSA-N	aloxistatin	65663
JCP2022_068238	BRD-K91535048-001-01-2	PFHDWRIVDDIFRP-UHFFFAOYSA-N	EI1	72199293
JCP2022_102917	BRD-K87691185-001-01-2	XDFKWGIBQMHSOH-UHFFFAOYSA-N	FPS-ZM1	24752728
JCP2022_050830	BRD-K02490038-236-03-8	LPAHKJMGDSJDRG-UHFFFAOYSA-N	BQ-788	5311032
JCP2022_056401	BRD-K23363278-001-02-1	MTJHLONVHHPNSI-UHFFFAOYSA-N	CYT-997	11351021
JCP2022_077096	BRD-K52075715-001-07-5	RAOCRURYZCVHMG-UHFFFAOYSA-N	oxibendazole	4622
JCP2022_006270	BRD-K97072811-001-11-4	BGVLELSCIHASRV-UHFFFAOYSA-N	TG-003	1893668
JCP2022_101929	BRD-K84783599-001-01-0	WXXSNCNJFUAIDG-UHFFFAOYSA-N	riociguat	11304743
JCP2022_060734	BRD-K32730239-001-01-0	NQQBNZBOOHHVQP-UHFFFAOYSA-N	SU3327	11837140
JCP2022_033936	BRD-A63310107-001-04-8	IBAQFPQHRJAVAV-UHFFFAOYSA-N	miglitol	6710690
JCP2022_100688	BRD-K07442505-001-05-9	WRLVHADVOGFZOZ-UHFFFAOYSA-N	BAM7	5754137
JCP2022_033814	BRD-K00259736-001-16-4	IAKHMKGGTNLKSZ-UHFFFAOYSA-N	colchicine	6167
JCP2022_063174	BRD-A08187463-001-12-9	ODUOJXZPIYUATO-UHFFFAOYSA-N	racecadotril	107751
JCP2022_101857	BRD-K18895904-001-16-1	WXPNDRBBWZMPQG-UHFFFAOYSA-N	olanzapine	
JCP2022_053409	BRD-K94342292-001-02-9	MDKAFDIKYQMOMF-UHFFFAOYSA-N	NS-11021	24825677
JCP2022_052870	BRD-K47049295-300-03-1	MAKMQGKJURAJEN-UHFFFAOYSA-N	BAN-ORL-24	10296561
JCP2022_114322	BRD-K21528677-001-04-4	ZMUSCGJNJYXJBP-UHFFFAOYSA-N	desonide	5311066
JCP2022_027206	BRD-K93788137-001-05-9	GQXSULRYFDAMOO-UHFFFAOYSA-N	PF-431396	11598628
JCP2022_089383	BRD-A91008255-003-24-8	UIEATEWHFDRYRU-UHFFFAOYSA-N	bepridil	2351
JCP2022_041253	BRD-A51831848-001-02-9	JPGQOUSTVILISH-UHFFFAOYSA-N	enflurane	3226
JCP2022_028032	BRD-K97091514-001-11-4	GVJHHUAWPYXKBD-UHFFFAOYSA-N	vitamin-E	14985
JCP2022_081430	BRD-K01824976-300-02-9	RXWNCPJZOCPEPQ-UHFFFAOYSA-N	puromycin	5702164
JCP2022_056730	BRD-K94863486-001-02-2	MVCQKIKWYUURMU-UHFFFAOYSA-N	cetilistat	9952916
JCP2022_067441	BRD-K45293975-001-01-2	PBCZSGKMGDDXIJ-UHFFFAOYSA-N	7-hydroxystaurosporine	3078519
JCP2022_046239	BRD-K01826724-003-07-9	KPYSYYIEGFHWSV-UHFFFAOYSA-N	baclofen	2284
JCP2022_069285	BRD-K10843433-001-23-5	PKYKNPLSFOKASK-UHFFFAOYSA-N	phenylbutazone	4781
JCP2022_034709	BRD-K84266862-001-03-2	IFIUFCJFLGCQPH-UHFFFAOYSA-N	BRL-50481	2921148
JCP2022_069131	BRD-K81197548-003-03-9	PKCYYPHSCUSQDK-UHFFFAOYSA-N	NSC-632839	5351363
JCP2022_103291	BRD-K82818427-001-05-9	XFILPEOLDIKJHX-UHFFFAOYSA-N	batimastat	5362422
JCP2022_000794	BRD-K24696047-001-02-3	AECDBHGVIIRMOI-UHFFFAOYSA-N	NVP-AEW541	
JCP2022_112702	BRD-K83896451-001-07-5	ZDXPYRJPNDTMRX-UHFFFAOYSA-N	glutamine-(l)	5961
JCP2022_053734	BRD-K24616672-003-19-3	MFDFERRIHVXMIY-UHFFFAOYSA-N	procaine	4914
JCP2022_093956	BRD-K78122587-300-04-3	VHHVPDKNKPNKHY-UHFFFAOYSA-N	NNC-55-0396	9957280
JCP2022_041107	BRD-K72815923-034-01-2	JOLJIIDDOBNFHW-UHFFFAOYSA-N	xanomeline	60809
JCP2022_017914	BRD-K29791386-001-01-8	DSLRVRBSNLHVBH-UHFFFAOYSA-N	2,5-furandimethanol	74663
JCP2022_054618	BRD-K78126613-001-27-7	MJVAVZPDRWSRRC-UHFFFAOYSA-N	menadione	4055
JCP2022_076523	BRD-K63430059-001-16-4	QXKHYNVANLEOEG-UHFFFAOYSA-N	methoxsalen	4114
JCP2022_004587	BRD-K37764012-001-06-9	AYCPARAPKDAOEN-UHFFFAOYSA-N	PF-03758309	25227462
JCP2022_039863	BRD-K11558771-001-16-9	JHSXDAWGLCZYSM-UHFFFAOYSA-N	droxinostat	568416
JCP2022_104437	BRD-K20986415-001-02-6	XLSYZSRXVVCHLS-UHFFFAOYSA-N	RGB-286638	11285002
JCP2022_050797	BRD-K59632282-052-03-1	LOUPRKONTZGTKE-UHFFFAOYSA-N	quinidine	441074
JCP2022_102936	BRD-K45746021-003-01-9	XDJCLCLBSGGNKS-UHFFFAOYSA-N	CC-401	10430360
JCP2022_051415	BRD-K15179513-001-04-2	LSFLAQVDISHMNB-UHFFFAOYSA-N	NVP-ADW742	
JCP2022_073628	BRD-A63444178-001-01-5	QIHBWVVVRYYYRO-UHFFFAOYSA-N	ME-0328	51147633
JCP2022_079715	BRD-K32292990-001-03-6	RONQPWQYDRPRGG-UHFFFAOYSA-N	CGP-53353	6711154
JCP2022_060040	BRD-K03406345-001-18-7	NMUSYJAQQFHJEW-UHFFFAOYSA-N	azacitidine	9444
JCP2022_090051	BRD-K56740996-001-01-3	ULYONBAOIMCNEH-UHFFFAOYSA-N	flindokalner	214350
JCP2022_025848	BRD-A10188456-001-04-9	GJFCONYVAUNLKB-UHFFFAOYSA-N	dexamethasone	5702035
JCP2022_005163	BRD-K59831625-001-03-9	BBDGBGOVJPEFBT-UHFFFAOYSA-N	LDN-212854	60182388
JCP2022_042960	BRD-A24122750-001-03-7	JYLNVJYYQQXNEK-UHFFFAOYSA-N	saclofen	122150
JCP2022_022359	BRD-K26514105-001-02-9	FQUAFMNPXPXOJE-UHFFFAOYSA-N	GSK-37647	743974
JCP2022_115134	BRD-K76037122-001-02-5	ZRALSGWEFCBTJO-UHFFFAOYSA-N	guanidine	3520
JCP2022_051043	BRD-K30177383-001-02-9	LQERMDXPGNOJCT-UHFFFAOYSA-N	dalbavancin	16134627
JCP2022_083099	BRD-K29530284-001-06-2	SGRYPYWGNKJSDL-UHFFFAOYSA-N	amlexanox	2161
JCP2022_050338	BRD-K32821942-001-21-3	LMEKQMALGUDUQG-UHFFFAOYSA-N	azathioprine	2265
JCP2022_057881	BRD-K50055394-001-03-6	NBHPRWLFLUBAIE-UHFFFAOYSA-N	halopemide	65490
JCP2022_049224	BRD-K42352790-001-11-9	LGEQQWMQCRIYKG-UHFFFAOYSA-N	anandamide	5281969
JCP2022_011759	BRD-K91822704-003-07-2	CKTSBUTUHBMZGZ-UHFFFAOYSA-N	torcitabine	13711
JCP2022_110929	BRD-K90497590-001-07-5	YULUCECVQOCQFQ-UHFFFAOYSA-N	AR-12	10027278
JCP2022_012198	BRD-K90747162-001-02-9	CMYHZFCJPORPHY-UHFFFAOYSA-N	KG-5	53328059
JCP2022_013455	BRD-K74514084-003-09-2	CUIHSIWYWATEQL-UHFFFAOYSA-N	pazopanib	10113978
JCP2022_032680	BRD-K93779381-001-02-9	HULPONUAINYLQQ-UHFFFAOYSA-N	ingenol-mebutate	6918670
JCP2022_088849	BRD-K61918008-001-07-1	UFJGFNHRMPMALC-UHFFFAOYSA-N	NQDI-1	5522952
JCP2022_057163	BRD-K36660044-001-24-2	MXJWRABVEGLYDG-UHFFFAOYSA-N	bufexamac	2466
JCP2022_038675	BRD-K67637637-003-12-6	JBIMVDZLSHOPLA-UHFFFAOYSA-N	olopatadine	25271818
JCP2022_029186	BRD-K66788707-001-17-6	HBUBKKRHXORPQB-UHFFFAOYSA-N	fludarabine	657237
JCP2022_066287	BRD-K18131774-001-18-4	OUZWUKMCLIBBOG-UHFFFAOYSA-N	ethoxzolamide	3295
JCP2022_035296	BRD-K87632963-001-05-9	IIQUYGWWHIHOCF-UHFFFAOYSA-N	GNF-5	44129660
JCP2022_091373	BRD-K58049875-001-03-9	UTBOEBCWXGDOGI-UHFFFAOYSA-N	thiostrepton	16154490
JCP2022_015955	BRD-K41599323-001-03-1	DHMTURDWPRKSOA-UHFFFAOYSA-N	lonafarnib	148195
JCP2022_075182	BRD-K77627880-001-04-0	QQGWEXFLMJGCAL-UHFFFAOYSA-N	A205804	9839311
JCP2022_106781	BRD-K16810791-001-01-0	XXYGTCZJJLTAGH-UHFFFAOYSA-N	LGK-974	46926973
JCP2022_046462	BRD-K07881437-001-03-8	KRBSMMVJJVHVCB-UHFFFAOYSA-N	danusertib	11442891
JCP2022_068713	BRD-K44227013-001-15-9	PHXJVRSECIGDHY-UHFFFAOYSA-N	ponatinib	24826799
JCP2022_116560	BRD-K80935598-001-01-1	ZYVXTMKTGDARKR-UHFFFAOYSA-N	AZ191	72716071
JCP2022_071910	BRD-K01825690-065-01-9	PZBPKYOVPCNPJY-UHFFFAOYSA-N	enilconazole	37175
JCP2022_071733	BRD-K73789395-001-09-9	PYEFPDQFAZNXLI-UHFFFAOYSA-N	ZM-336372	5730
JCP2022_064022	BRD-K28132190-001-02-0	OINGHOPGNMYCAB-UHFFFAOYSA-N	NVS-PAK1-1	122187564
JCP2022_032353	BRD-K43236057-001-07-1	HSTZMXCBWJGKHG-UHFFFAOYSA-N	polydatin	5281718
JCP2022_058889	BRD-A93477898-001-04-2	NGTDJJKTGRNNAU-UHFFFAOYSA-N	PETCM	224859
JCP2022_082234	BRD-K36016295-001-05-2	SCELLOWTHJGVIC-UHFFFAOYSA-N	KU-60019	15953870
JCP2022_116437	BRD-K23913458-001-20-7	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	coumarin	323
JCP2022_093480	BRD-K22149900-001-05-4	VERWOWGGCGHDQE-UHFFFAOYSA-N	ceritinib	57379345
JCP2022_050873	BRD-K24282351-001-02-9	LPGBXHWIQNZEJB-UHFFFAOYSA-N	TUG-891	57522038
JCP2022_029868	BRD-K53972329-001-12-9	HFNKQEVNSGCOJV-UHFFFAOYSA-N	ruxolitinib	25126798
JCP2022_023781	BRD-K09787262-001-03-9	FYIBXBFDXNPBSF-UHFFFAOYSA-N	TCN201	4787937
JCP2022_005628	BRD-K80451230-051-02-6	BDNFQGRSKSQXRI-UHFFFAOYSA-N	zamifenacin	3086618
JCP2022_057971	BRD-K50199947-001-07-9	NBTNHSGBRGTFJS-UHFFFAOYSA-N	WH-4-023	11844351
JCP2022_025848	BRD-K38775274-001-22-1	GJFCONYVAUNLKB-UHFFFAOYSA-N	dexamethasone	5743
JCP2022_088224	BRD-K09295674-001-09-8	UCAGLBKTLXCODC-UHFFFAOYSA-N	carzenide	8739
JCP2022_047143	BRD-A18763547-300-05-5	KUUJEXLRLIPQQJ-UHFFFAOYSA-N	BAX-channel-blocker	2729027
JCP2022_009886	BRD-K71106091-001-09-5	CAOWNCTTWGSKDO-UHFFFAOYSA-N	fludarabine-phosphate	30751
JCP2022_109917	BRD-K36055864-001-19-2	YPHMISFOHDHNIV-UHFFFAOYSA-N	cycloheximide	6197
JCP2022_058288	BRD-K37864785-001-01-0	NDNKNUMSTIMSHQ-UHFFFAOYSA-N	GW-311616	9800961
JCP2022_075694	BRD-K36740062-001-07-9	QTBWCSQGBMPECM-UHFFFAOYSA-N	GSK1070916	46885626
JCP2022_105696	BRD-K97181089-003-24-7	XSDQTOBWRPYKKA-UHFFFAOYSA-N	amiloride	16231
JCP2022_012818	BRD-K89517477-001-03-9	CQKBSRPVZZLCJE-UHFFFAOYSA-N	TC-S-7004	57523919
JCP2022_106219	BRD-K59325863-001-04-4	XUZQTIZWMHMWOC-UHFFFAOYSA-N	delanzomib	24800541
JCP2022_105539	BRD-K25311561-001-10-7	XRKYMMUGXMWDAO-UHFFFAOYSA-N	KU-55933	5278396
JCP2022_068901	BRD-A31564021-001-01-8	PIWKPBJCKXDKJR-UHFFFAOYSA-N	isoflurane	3763
JCP2022_010404	BRD-A37704979-001-12-3	CDMGBJANTYXAIV-UHFFFAOYSA-N	SB-203580	176155
JCP2022_031861	BRD-A65597028-003-09-9	HQGWKNGAKBPTBX-UHFFFAOYSA-N	RX-821002	108094
JCP2022_051319	BRD-K61642990-001-01-0	LRRMQNGSYOUANY-UHFFFAOYSA-N	FERb-033	
JCP2022_002206	BRD-A74391928-051-04-9	ALOBUEHUHMBRLE-UHFFFAOYSA-N	ibutilide	60753
JCP2022_072945	BRD-K53234107-001-01-6	QESQGTFWEQMCMH-UHFFFAOYSA-N	IWP-L6	71601111
JCP2022_019314	BRD-K03601870-001-02-9	FABUFPQFXZVHFB-UHFFFAOYSA-N	ixabepilone	6445540
JCP2022_038096	BRD-K09143580-001-02-9	IYAYHZZWYNXHEQ-UHFFFAOYSA-N	AK-7	1328033
JCP2022_059966	BRD-K06890060-001-10-9	NMKJFZCBCIUYHI-UHFFFAOYSA-N	alda-1	831629
JCP2022_082046	BRD-K50398167-236-22-7	SBDNJUWAMKYJOX-UHFFFAOYSA-N	meclofenamic-acid	4037
JCP2022_069491	BRD-K13533483-001-16-2	PMATZTZNYRCHOR-UHFFFAOYSA-N	cyclosporine	5284373
JCP2022_036614	BRD-K81405859-300-01-4	IPSSXIMJJXSJQB-UHFFFAOYSA-N	JTE-607	9938545
JCP2022_084606	BRD-K61397605-001-09-9	SOOPLNPQGWJZHY-UHFFFAOYSA-N	romidepsin	5352062
JCP2022_116749	BRD-A69651145-003-11-4	ZZZRUAITSXLWBH-UHFFFAOYSA-N	minocycline	54575046
JCP2022_067886	BRD-K73319509-001-12-9	PDMUGYOXRHVNMO-UHFFFAOYSA-N	PF-04217903	17754438
JCP2022_109043	BRD-K91370081-001-25-1	YKJYKKNCCRKFSL-UHFFFAOYSA-N	anisomycin	253602
JCP2022_026475	BRD-K55966568-001-09-6	GMROZDPZEUVIGD-UHFFFAOYSA-N	orantinib	5329099
JCP2022_046524	BRD-K76792669-001-08-1	KRKNYBCHXYNGOX-UHFFFAOYSA-N	citric-acid	19782904
JCP2022_076233	BRD-K48722258-300-11-0	QVZCXCJXTMIDME-UHFFFAOYSA-N	dilazep	3074
JCP2022_037716	BRD-K21728777-001-02-3	IVUGFMLRJOCGAS-UHFFFAOYSA-N	AMG900	24856041
JCP2022_068606	BRD-K70778732-003-27-5	PHLBKPHSAVXXEF-UHFFFAOYSA-N	trazodone	5533
JCP2022_042354	BRD-A72483914-001-03-7	JVGBTTIJPBFLTE-UHFFFAOYSA-N	spiroxatrine	5268
